Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"01-11-2018 11:22 pm","02-11-2018 8:10 am","460","68","22","528","92","272","96"
"30-10-2018 10:33 pm","31-10-2018 5:32 am","376","43","17","419","96","191","89"
"29-10-2018 9:53 pm","30-10-2018 5:38 am","413","52","20","465","97","252","64"
"28-10-2018 10:51 pm","29-10-2018 5:14 am","341","42","24","383","48","241","52"
"27-10-2018 11:47 pm","28-10-2018 8:11 am","462","42","18","504","110","202","150"
"27-10-2018 7:22 pm","27-10-2018 9:00 pm","7","80","0","98","N/A","N/A","N/A"
"26-10-2018 10:27 pm","27-10-2018 8:19 am","472","119","28","591","87","334","51"
"26-10-2018 1:32 pm","26-10-2018 3:33 pm","74","40","1","120","N/A","N/A","N/A"
"25-10-2018 10:16 pm","26-10-2018 7:44 am","492","76","25","568","131","231","130"
"24-10-2018 10:13 pm","25-10-2018 5:58 am","390","75","21","465","36","299","55"
"23-10-2018 9:46 pm","24-10-2018 5:47 am","429","52","22","481","109","243","77"
"23-10-2018 6:12 pm","23-10-2018 8:05 pm","68","27","0","113","N/A","N/A","N/A"
"22-10-2018 10:10 pm","23-10-2018 5:56 am","402","63","25","465","81","237","84"
"21-10-2018 11:17 pm","22-10-2018 5:21 am","327","37","19","364","42","222","63"
"19-10-2018 10:02 pm","20-10-2018 9:24 am","556","125","33","681","105","365","86"
"18-10-2018 10:28 pm","19-10-2018 8:53 am","554","71","28","625","85","378","91"
"17-10-2018 9:31 pm","18-10-2018 5:44 am","431","62","24","493","115","250","66"
"16-10-2018 10:49 pm","17-10-2018 5:26 am","357","40","19","397","84","217","56"
"15-10-2018 10:32 pm","16-10-2018 5:51 am","372","67","17","439","73","223","76"
"14-10-2018 10:10 pm","15-10-2018 5:26 am","393","43","20","436","90","218","85"
"14-10-2018 1:46 am","14-10-2018 9:11 am","379","66","18","445","109","156","114"
"12-10-2018 11:53 pm","13-10-2018 8:54 am","335","206","1","541","N/A","N/A","N/A"
"11-10-2018 11:17 pm","12-10-2018 6:46 am","387","62","20","449","97","199","91"
"10-10-2018 11:25 pm","11-10-2018 8:11 am","465","60","24","525","89","292","84"

